,latitude,longitude,price,bedrooms,bathrooms,homeType,homeStatus
347,21.289248,-157.70032,2670000.0,4.0,2.0,SINGLE_FAMILY,FOR_SALE
348,21.287619,-157.70325,950000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
349,21.392048,-158.02672,875000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
350,21.316174,-158.02599,2188000.0,4.0,4.0,SINGLE_FAMILY,FOR_SALE
351,21.557514,-157.85767,1650000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
352,21.314884,-158.03136,840000.0,3.0,3.0,TOWNHOUSE,FOR_SALE
353,21.29907,-157.84149,55000.0,0.0,0.0,CONDO,FOR_SALE
354,21.408636,-158.17091,750000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
355,21.40482,-157.7841,1350000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
356,21.322311,-157.85092,318000.0,0.0,1.0,CONDO,FOR_SALE
357,21.309505,-158.02518,1599000.0,4.0,3.0,SINGLE_FAMILY,FOR_SALE
358,21.342663,-158.12323,1395000.0,2.0,2.0,TOWNHOUSE,FOR_SALE
359,21.407589,-158.16373,610000.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
360,21.402441,-157.74837,1300000.0,5.0,3.0,SINGLE_FAMILY,FOR_SALE
361,21.50427,-158.02057,950000.0,6.0,2.0,SINGLE_FAMILY,FOR_SALE
362,21.38503,-157.93509,385000.0,1.0,1.0,CONDO,FOR_SALE
363,21.495241,-158.02553,799900.0,3.0,2.0,SINGLE_FAMILY,FOR_SALE
